D_Dbuild,D_StructureSystem_RC,D_StructureSystem_Precast_Concrete,D_StructureSystem_Steel,D_StructureSystem_Reinfored_Brick,D_StructureSystem_Brick_Wall,D_StructureSystem_Brick_wall_with_Wooden_pillar,D_StructureSystem_Wood_or_Synthetic_Resins,D_StructureSystem_SRC,D_StructureSystem_NaN,D_structure_6,D_structure_5,D_structure_4,D_structure_3,D_structure_2,D_structure_1,D_floor,D_floorTA,D_floorTAGround,D_1floorCorridorCol,D_1floorCorridorColA,D_1floorClassCol,D_1floorClassColA,D_1floorInsideCol,D_1floorInsideColA,D_X4brickwall,D_X3brickwall,D_YRCwallA,D_Y4brickwall,D_Y3brickwall,D_basintype,D_475Acc,D_I,D_Demand,D_Tx,D_Ty,D_sds,D_sd1,D_td0,D_sms,D_sm1,D_tm0,D_windows,D_patitionwall,D_nonstructure,D_CLlarge,D_CLsmall,D_MaxCl,D_NeutralDepth,D_Ra_Capacity,D_Ra_CDR,Total_Height,Total_DeadLoad,Total_LiveLoad,Total_Floor,Avg_Confc,Avg_MBfy,Avg_stify,D_isR
1997,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,216.8,0.0,0,0.0,11,10560.0,0,0.0,26400.0,0.0,0.0,41472.0,12000.0,2.0,0.26,1.25,0.26,0.29,0.29,0.66,0.45,0.68,,,,1.0,1.0,1.0,0,2,0.02,1.4,,,6.6,203070.0,48780.0,216.8,200.5,2800.0,2800.0,1
1988,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,943.0,,0,0.0,22,88000.0,0,0.0,228600.0,0.0,0.0,0.0,164900.0,2.0,0.35,1.25,,0.23,0.23,,,,,,,0.0,2.0,0.0,0,1,,,,,5.9,585514.0,94300.0,943.0,280.0,2800.0,2800.0,0
1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4932.43,1196.26,16,60345.24,25,112554.92,10,32791.54,0.0,0.0,149454.6,0.0,0.0,4.0,0.24,1.25,0.24,0.68,0.68,0.6,0.78,1.3,,,,1.0,1.0,0.0,18,0,4.81,8.2,,,20.7,3793897.0,1255843.0,3586.72,177.0,2800.0,2800.0,0
1951,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1078.0,0.0,0,0.0,30,36000.0,8,8000.0,0.0,2816100.0,0.0,1787520.0,0.0,2.0,0.28,1.25,0.28,0.27,0.27,0.7,0.52,0.74,,,,1.0,1.0,2.0,0,4,0.1,5.1,,,7.4,928176.0,287100.0,1044.0,179.88,2400.0,2400.0,1
1976,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3000.0,386.0,0,0.0,48,96000.0,0,0.0,0.0,41568.0,0.0,218016.0,0.0,4.0,0.24,1.25,0.24,0.77,0.77,0.6,0.8,1.3,,,,1.0,1.0,0.0,0,10,0.3,3.9,,,15.75,2762452.0,900000.0,3000.0,152.78,2800.0,2800.0,1
1988,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2357.0,518.0,0,0.0,24,48000.0,0,0.0,0.0,13920.0,0.0,134400.0,0.0,4.0,0.24,1.25,0.24,0.46,0.46,0.6,0.63,1.05,,,,1.0,1.0,1.0,12,2,2.69,5.4,,,19.2,2242540.0,711562.5,2846.25,174.54,2800.0,2800.0,1
1992,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,924.18,0.0,0,0.0,16,28000.0,16,26420.0,0.0,0.0,0.0,139440.0,0.0,2.0,0.36,1.25,0.36,0.31,0.31,0.91,0.68,0.74,,,,1.0,1.0,0.0,0,3,0.03,2.8,,,7.2,914840.0,369672.0,924.18,210.0,4200.0,2800.0,1
1992,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4148.0,1037.0,17,61200.0,16,57600.0,3,8600.0,0.0,923100.0,745240.0,1432200.0,586200.0,3.0,0.24,1.25,0.24,0.42,0.42,0.6,0.6,0.99,,,,1.0,1.0,1.0,0,5,0.03,2.0,,,17.07,4116000.0,1296457.4,4148.0,205.56,2800.0,2800.0,1
1958,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2727.0,,0,0.0,55,86625.0,10,10000.0,0.0,0.0,0.0,6321000.0,0.0,2.0,0.28,1.25,0.28,0.3,0.3,0.7,0.52,0.74,,,,1.0,1.0,0.0,0,6,0.13,1.2,,,11.0,1943499.0,818100.0,2727.0,183.33,2800.0,2800.0,1
1997,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,8978.0,,55,155508.0,82,195944.0,0,0.0,0.0,0.0,12000.0,0.0,0.0,2.0,0.22,1.25,,0.45,0.45,,,,,,,2.0,2.0,1.0,0,4,,,,,11.4,10833000.0,1346700.0,8978.0,210.0,4200.0,2800.0,0
1977,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,884.64,221.16,0,0.0,16,19200.0,0,0.0,69120.0,0.0,0.0,0.0,0.0,1.0,0.28,1.25,0.28,0.52,0.52,0.7,0.4,0.57,,,,1.0,1.0,1.0,0,9,0.11,4.5,,,14.4,2724185.0,210102.0,884.64,154.75,2800.0,2800.0,1
1990,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,8362.88,0.0,0,0.0,34,233400.0,0,0.0,0.0,0.0,0.0,2160000.0,0.0,4.0,0.24,1.25,0.24,0.66,0.66,0.6,0.63,1.05,,,,1.0,1.0,1.0,0,6,0.24,2.0,,,19.8,9428731.0,3531375.0,7510.93,234.34,4200.0,2800.0,0
